iter	Passed	Remaining
0	125	188428
1	186	139466
2	246	122926
3	302	113286
4	362	108400
5	425	106051
6	494	105552
7	556	103825
8	621	102953
9	693	103274
10	782	105893
11	863	107059
12	943	107969
13	1035	109866
14	1119	110795
15	1185	109954
16	1262	110146
17	1335	109977
18	1407	109673
19	1467	108589
20	1535	108110
21	1598	107378
22	1663	106842
23	1731	106508
24	1803	106414
25	1872	106135
26	1937	105685
27	2001	105222
28	2068	104924
29	2135	104655
30	2206	104553
31	2272	104271
32	2341	104109
33	2418	104287
34	2497	104532
35	2573	104635
36	2646	104650
37	2709	104244
38	2780	104151
39	2843	103800
40	2908	103500
41	2981	103501
42	3050	103347
43	3113	103041
44	3181	102864
45	3261	103082
46	3328	102907
47	3394	102691
48	3465	102614
49	3526	102264
50	3597	102199
51	3669	102170
52	3735	101976
53	3807	101954
54	3875	101832
55	3952	101906
56	4023	101847
57	4099	101925
58	4168	101819
59	4242	101818
60	4311	101704
61	4382	101653
62	4455	101621
63	4523	101485
64	4589	101319
65	4656	101167
66	4721	100980
67	4789	100856
68	4859	100790
69	4926	100639
70	5002	100693
71	5067	100500
72	5133	100340
73	5200	100211
74	5269	100129
75	5343	100119
76	5408	99948
77	5468	99690
78	5540	99663
79	5610	99589
80	5679	99491
81	5759	99602
82	5842	99747
83	5929	99948
84	6019	100200
85	6096	100244
86	6165	100135
87	6238	100100
88	6305	99971
89	6373	99851
90	6439	99699
91	6505	99567
92	6576	99502
93	6645	99401
94	6716	99329
95	6784	99230
96	6847	99044
97	6916	98955
98	6989	98905
99	7057	98804
100	7118	98605
101	7196	98638
102	7266	98555
103	7333	98439
104	7405	98392
105	7470	98246
106	7540	98167
107	7617	98181
108	7678	97985
109	7744	97865
110	7811	97753
111	7889	97773
112	7959	97697
113	8026	97587
114	8093	97473
115	8172	97509
116	8247	97492
117	8310	97335
118	8379	97241
119	8449	97167
120	8515	97053
121	8579	96906
122	8644	96777
123	8709	96647
124	8773	96509
125	8834	96338
126	8901	96233
127	8968	96133
128	9038	96065
129	9107	95974
130	9266	96841
131	9332	96722
132	9411	96732
133	9475	96590
134	9546	96522
135	9614	96428
136	9681	96321
137	9748	96209
138	9808	96042
139	9873	95914
140	9939	95802
141	10003	95670
142	10063	95494
143	10128	95380
144	10197	95292
145	10259	95144
146	10325	95034
147	10392	94936
148	10458	94830
