iter	Logloss
0	0.6573217324
1	0.6312803945
2	0.6007494345
3	0.5703989937
4	0.5450283499
5	0.5216642613
6	0.5017656343
7	0.4846860546
8	0.4679666266
9	0.4540710812
10	0.4439443111
11	0.430260864
12	0.4217969099
13	0.4105552181
14	0.4010614066
15	0.3953908387
16	0.3874981553
17	0.3819285797
18	0.3754778814
19	0.367877399
20	0.3630517002
21	0.3582145477
22	0.3532987131
23	0.3485633732
24	0.3432324756
25	0.3388499095
26	0.335618131
27	0.3314482368
28	0.3281853015
29	0.3250500079
30	0.3218298124
31	0.3191760685
32	0.315576892
33	0.3128735423
34	0.3103651332
35	0.3076348316
36	0.3056635039
37	0.3037763476
38	0.301061908
39	0.2991283715
40	0.2968209526
41	0.2947448154
42	0.2928514963
43	0.2915087839
44	0.2889379385
45	0.2871298333
46	0.2856913364
47	0.284287945
48	0.2826814959
49	0.2812945567
50	0.2798374752
51	0.2786731549
52	0.2774097237
53	0.2763234131
54	0.2751315405
55	0.2740842708
56	0.2727182771
57	0.2717709676
58	0.2709127661
59	0.2694053459
60	0.2682002111
61	0.2676134407
62	0.2665297361
63	0.265628787
64	0.2648829028
65	0.2637893748
66	0.2628662519
67	0.2615411812
68	0.2607083506
69	0.2599453984
70	0.259361324
71	0.2587957883
72	0.2582145972
73	0.2575542605
74	0.2566020249
75	0.2561176498
76	0.255329094
77	0.2548386356
78	0.2543743998
79	0.2534913862
80	0.2530810798
81	0.2520038646
82	0.2512811824
83	0.2508808173
84	0.2503293996
85	0.2495041518
86	0.2491501653
87	0.2484014977
88	0.2479786409
89	0.2475719218
90	0.2466326785
91	0.2461326967
92	0.2456308207
93	0.2451921632
94	0.244666676
95	0.2443766003
96	0.244092375
97	0.2435907657
98	0.2431929468
99	0.2425765704
100	0.2422312909
101	0.2418955573
102	0.2413695256
103	0.2410627846
104	0.2406969201
105	0.2403118165
106	0.2399888296
107	0.2395037905
108	0.2391685207
109	0.2388951867
110	0.23855624
111	0.2380651992
112	0.2378635029
113	0.2375893379
114	0.2372225996
115	0.2368100443
116	0.2367005741
117	0.2363019009
118	0.2360215104
119	0.2356620803
120	0.2352339625
121	0.2350796616
122	0.2347812309
123	0.2342785053
124	0.2338566868
125	0.2334383536
126	0.2331109779
127	0.2328278755
128	0.2325126072
129	0.2321968626
130	0.2320751483
131	0.2317772271
132	0.2314483558
133	0.2311370068
134	0.2309368014
135	0.2308034527
136	0.2304726343
137	0.2300893605
138	0.2299194205
139	0.2295119464
140	0.2293258964
141	0.2292101201
142	0.2289070076
143	0.2287991263
144	0.2285995067
145	0.2281238694
146	0.2278912629
147	0.2277155522
148	0.2275031988
149	0.2272163444
150	0.2269422284
151	0.2266939195
152	0.2263752233
153	0.2262211281
154	0.2258661234
155	0.2257422114
156	0.2253834167
157	0.22523666
158	0.2249561117
159	0.2246171907
160	0.22452725
161	0.2242417296
162	0.2241298602
163	0.2240506928
164	0.2238706933
165	0.2237154374
166	0.2233009421
167	0.223104494
168	0.2228107729
169	0.2226823309
170	0.2224488149
171	0.2223294421
172	0.2221606175
173	0.2219913796
174	0.2218587096
175	0.2216077062
176	0.2213911734
177	0.2212256434
178	0.2211062672
179	0.2208965591
180	0.2207747133
181	0.220576887
182	0.220382999
183	0.2202167481
184	0.2201110596
185	0.2198732304
186	0.2197654561
187	0.2196543036
188	0.2195294019
189	0.2193467835
190	0.2190458126
191	0.2189546397
192	0.2187454494
193	0.2185600345
194	0.2184760397
195	0.2183277116
196	0.2182103426
